,Localitate,Alimentara,Textila,Lemnului,ChimicaFarmaceutica,Metalurgica,ConstructiiMasini,CalculatoareElectronica,Mobila,Energetica,Siruta,Judet,Populatie
110,Popesti,362938.0,8025996.0,0.0,2278838.0,0.0,0.0,0.0,23607.0,0.0,178901,vn,3033
111,Popesti,216954.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18162,ag,2014
112,Popesti,216954.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30568,bh,7991
113,Popesti,216954.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98435,is,5573
114,Popesti,216954.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172377,vl,3039
115,Popesti,216954.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178901,vn,3033
116,Icusesti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123013,nt,4847
117,Racova,0.0,968522.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24711,bc,3578
118,Oras Busteni,1057018.0,5829.0,44553.0,520.0,0.0,0.0,0.0,200833.0,3437819.0,131210,ph,9907
119,Oras Gaesti,30491882.0,16821059.0,1866469.0,1697490.0,0.0,0.0,0.0,7804226.0,0.0,65681,db,15346
120,Martinesti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90262,hd,1005
121,Belint,697577.0,897367.0,1834149.0,0.0,0.0,0.0,0.0,0.0,0.0,155797,tm,2599
122,Harseni,144411.0,0.0,4903892.0,0.0,0.0,0.0,0.0,0.0,0.0,41113,bv,2259
123,Vadu Izei,192724.0,0.0,405813.0,0.0,0.0,0.0,0.0,10857658.0,0.0,106648,mm,2879
124,Scortoasa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25800.0,0.0,49313,bz,2823
125,Valea Lunga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8354,ab,3138
126,Valea Lunga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69063,db,4773
127,Valea Lunga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8354,ab,3138
128,Valea Lunga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69063,db,4773
